doc_id,stock_code,stock_name,report_year,has_cash_dividend,cash_dividend_per_10_shares,parent_net_profit_cny,operating_cash_flow_cny,ocf_to_profit_ratio,dividend_pressure_score,profit_pressure_score,cashflow_pressure_score,liquidity_term_hits,liquidity_weighted_hits,liquidity_risk_score,liquidity_risk_quantile,legacy_liquidity_risk_label,base_attention_score,cross_year_pressure_score,cross_year_pressure_level,cross_year_reason,attention_score,attention_level,review_reason
1212750450,000002,万科A,2021,True,9.7,22524033383.22,4113160948.2,0.1826,100.0,10.0,70.0,35,77.5,87.57,high,medium,71.39,45.0,medium,cross-year base attention score rises; profit declines while dividend remains,80.39,priority,cash dividend while operating cash flow is weak or negative; liquidity-risk term frequency is high; cross-year base attention score rises; profit declines while dividend remains
1216273938,000002,万科A,2022,True,6.8,22617778516.45,2750449478.44,0.1216,100.0,10.0,70.0,40,88.5,100.0,high,high,74.5,26.25,low,cross-year base attention score rises; profit declines while dividend remains,79.75,priority,cash dividend while operating cash flow is weak or negative; liquidity-risk term frequency is high; cross-year base attention score rises; profit declines while dividend remains
1216402029,600639,浦东金桥,2022,True,5.0,1583573935.75,-2531546279.34,,100.0,10.0,100.0,5,10.0,11.3,low,low,59.82,70.0,high,cross-year base attention score rises; current-year dividend with negative operating cash flow; profit declines while dividend remains,73.82,watch,cash dividend while operating cash flow is weak or negative; cross-year base attention score rises; current-year dividend with negative operating cash flow; profit declines while dividend remains
1222974139,000002,万科A,2024,False,0.0,-49478429211.96,3799847632.35,0.0768,0.0,100.0,70.0,38,82.5,93.22,high,high,60.81,60.0,medium,cross-year base attention score jumps; profit turns or remains negative,72.81,watch,net profit is negative; liquidity-risk term frequency is high; cross-year base attention score jumps; profit turns or remains negative
1216276910,000069,华侨城A,2022,False,0.0,-10905405257.13,-574644519.3,,0.0,100.0,100.0,13,29.5,33.33,high,medium,53.33,95.0,high,cross-year liquidity-risk score jumps; cross-year base attention score jumps; profit turns or remains negative,72.33,watch,net profit is negative; cross-year liquidity-risk score jumps; cross-year base attention score jumps; profit turns or remains negative
1219583682,600639,浦东金桥,2023,True,5.7,1818789939.0,-6702977654.4,,100.0,10.0,100.0,4,10.0,11.3,low,low,59.82,60.0,medium,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow,71.82,watch,cash dividend while operating cash flow is weak or negative; cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
1219493208,600683,京投发展,2023,,,-659234610.5,-4325766372.9,,15.0,100.0,100.0,21,43.0,48.59,high,low,61.65,45.0,medium,cross-year base attention score rises; profit turns or remains negative,70.65,watch,net profit is negative; cross-year base attention score rises; profit turns or remains negative; dividend field is missing
1222992709,600683,京投发展,2024,,,-1054631546.7,-6211162548.97,,15.0,100.0,100.0,21,43.0,48.59,high,low,61.65,37.5,low,cross-year base attention score jumps; profit turns or remains negative,69.15,watch,net profit is negative; cross-year base attention score jumps; profit turns or remains negative; dividend field is missing
1223073009,600657,信达地产,2024,,,-783910570.83,-1140965527.76,,15.0,100.0,100.0,13,26.0,29.38,high,low,56.84,60.0,medium,cross-year base attention score jumps; profit turns or remains negative,68.84,watch,net profit is negative; cross-year base attention score jumps; profit turns or remains negative; dividend field is missing
1216299891,000573,粤宏远A,2022,True,0.8,41552025.96,-60005126.91,,16.0,60.0,100.0,4,14.5,16.38,medium,low,45.9,100.0,high,cross-year liquidity-risk score rises; cross-year base attention score jumps; current-year dividend with negative operating cash flow; profit declines while dividend remains,65.9,watch,cash dividend while operating cash flow is weak or negative; cross-year liquidity-risk score rises; cross-year base attention score jumps; current-year dividend with negative operating cash flow; profit declines while dividend remains
1223426241,600665,天地源,2024,,,-1019943835.99,-869737812.77,,15.0,100.0,100.0,6,12.5,14.12,medium,low,53.03,60.0,medium,cross-year base attention score jumps; profit turns or remains negative,65.03,watch,net profit is negative; cross-year base attention score jumps; profit turns or remains negative; dividend field is missing
1223095385,600639,浦东金桥,2024,True,3.227,1001950138.86,-1199042707.51,,64.54,10.0,100.0,4,8.0,9.04,low,low,48.62,75.0,high,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow; profit declines while dividend remains,63.62,watch,cash dividend while operating cash flow is weak or negative; cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow; profit declines while dividend remains
1223151948,000573,粤宏远A,2024,True,0.5,-47698354.96,-14788756.2,,10.0,100.0,100.0,0,0.0,0.0,none,none,48.0,75.0,high,current-year dividend with negative operating cash flow; profit declines while dividend remains; profit turns or remains negative,63.0,watch,cash dividend while operating cash flow is weak or negative; net profit is negative; current-year dividend with negative operating cash flow; profit declines while dividend remains; profit turns or remains negative
1216389638,600648,外高桥,2022,True,3.3,1240803308.65,-1709799339.2,,66.0,10.0,100.0,6,12.0,13.56,medium,low,50.19,60.0,medium,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow,62.19,watch,cash dividend while operating cash flow is weak or negative; cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
