event_id,stock_code,stock_name,from_year,to_year,year_gap,is_consecutive_pair,from_doc_id,to_doc_id,dividend_delta,ocf_delta_cny,profit_delta_cny,risk_score_delta,base_attention_score_delta,final_attention_score_delta,cross_year_pressure_score,event_type,review_reason
000002_2020_2021,000002,万科A,2020,2021,1,True,1209488269,1212750450,-2.8,-49074861295.61,-18991511558.09,-6.22,13.44,22.44,45.0,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains
000002_2020_2022,000002,万科A,2020,2022,2,False,1209488269,1216273938,-5.7,-50437572765.37,-18897766424.86,6.21,16.55,21.8,26.25,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains
000002_2020_2023,000002,万科A,2020,2023,3,False,1209488269,1219487237,-12.5,-49275698323.7,-29352860572.45,4.52,-21.37,-21.37,0.0,baseline,cross-year baseline comparison
000002_2020_2024,000002,万科A,2020,2024,4,False,1209488269,1222974139,-12.5,-49388174611.46,-90993974153.27,-0.57,2.86,14.86,15.0,baseline,profit turns or remains negative
000002_2021_2022,000002,万科A,2021,2022,1,True,1212750450,1216273938,-2.9,-1362711469.76,93745133.23,12.43,3.11,-0.64,0.0,baseline,cross-year baseline comparison
000002_2021_2023,000002,万科A,2021,2023,2,False,1212750450,1219487237,-9.7,-200837028.09,-10361349014.36,10.74,-34.81,-43.81,0.0,baseline,cross-year baseline comparison
000002_2021_2024,000002,万科A,2021,2024,3,False,1212750450,1222974139,-9.7,-313313315.85,-72002462595.18,5.65,-10.58,-7.58,15.0,baseline,profit turns or remains negative
000002_2022_2023,000002,万科A,2022,2023,1,True,1216273938,1219487237,-6.8,1161874441.67,-10455094147.59,-1.69,-37.92,-43.17,0.0,baseline,cross-year baseline comparison
000002_2022_2024,000002,万科A,2022,2024,2,False,1216273938,1222974139,-6.8,1049398153.91,-72096207728.41,-6.78,-13.69,-6.94,15.0,baseline,profit turns or remains negative
000002_2023_2024,000002,万科A,2023,2024,1,True,1219487237,1222974139,0.0,-112476287.76,-61641113580.82,-5.09,24.23,36.23,60.0,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
