doc_id,stock_code,stock_name,report_year,has_cash_dividend,cash_dividend_per_10_shares,parent_net_profit_cny,operating_cash_flow_cny,ocf_to_profit_ratio,dividend_pressure_score,profit_pressure_score,cashflow_pressure_score,liquidity_term_hits,liquidity_weighted_hits,liquidity_risk_score,liquidity_risk_quantile,legacy_liquidity_risk_label,base_attention_score,cross_year_pressure_score,cross_year_pressure_level,cross_year_reason,attention_score,attention_level,review_reason
1209488269,000002,万科A,2020,True,12.5,41515544941.31,53188022243.81,1.2812,100.0,10.0,10.0,37,83.0,93.79,high,medium,57.95,0.0,none,,57.95,watch,liquidity-risk term frequency is high
1212750450,000002,万科A,2021,True,9.7,22524033383.22,4113160948.2,0.1826,100.0,10.0,70.0,35,77.5,87.57,high,medium,71.39,45.0,medium,cross-year base attention score rises; profit declines while dividend remains,80.39,priority,cash dividend while operating cash flow is weak or negative; liquidity-risk term frequency is high; cross-year base attention score rises; profit declines while dividend remains
1216273938,000002,万科A,2022,True,6.8,22617778516.45,2750449478.44,0.1216,100.0,10.0,70.0,40,88.5,100.0,high,high,74.5,26.25,low,cross-year base attention score rises; profit declines while dividend remains,79.75,priority,cash dividend while operating cash flow is weak or negative; liquidity-risk term frequency is high; cross-year base attention score rises; profit declines while dividend remains
1219487237,000002,万科A,2023,False,0.0,12162684368.86,3912323920.11,0.3217,0.0,10.0,40.0,39,87.0,98.31,high,medium,36.58,0.0,none,,36.58,monitor,liquidity-risk term frequency is high
1222974139,000002,万科A,2024,False,0.0,-49478429211.96,3799847632.35,0.0768,0.0,100.0,70.0,38,82.5,93.22,high,high,60.81,60.0,medium,cross-year base attention score jumps; profit turns or remains negative,72.81,watch,net profit is negative; liquidity-risk term frequency is high; cross-year base attention score jumps; profit turns or remains negative
1209490148,000006,深振业A,2020,True,1.93,864638857.34,-167505495.3,,38.6,10.0,100.0,17,34.5,38.98,high,medium,48.33,0.0,none,,48.33,monitor,cash dividend while operating cash flow is weak or negative
1212943740,000006,深振业A,2021,True,1.21,541690150.63,-3874666592.53,,24.2,10.0,100.0,0,0.0,0.0,none,none,34.26,55.0,medium,current-year dividend with negative operating cash flow; profit declines while dividend remains,45.26,monitor,cash dividend while operating cash flow is weak or negative; current-year dividend with negative operating cash flow; profit declines while dividend remains
1216655440,000006,深振业A,2022,True,0.94,419619088.67,2315465555.22,5.518,18.8,35.0,10.0,0,0.0,0.0,none,none,15.14,30.0,low,profit declines while dividend remains,21.14,routine,profit declines while dividend remains
1219865454,000006,深振业A,2023,False,0.0,-802652783.79,72763171.55,0.0907,0.0,100.0,70.0,0,0.0,0.0,none,none,37.5,60.0,medium,cross-year base attention score jumps; profit turns or remains negative,49.5,monitor,net profit is negative; cross-year base attention score jumps; profit turns or remains negative
1223309112,000006,深振业A,2024,False,0.0,-1568365378.32,1114966173.23,0.7109,0.0,100.0,40.0,0,0.0,0.0,none,none,30.0,30.0,low,profit turns or remains negative,36.0,monitor,net profit is negative; profit turns or remains negative
